
band x 880-1040, rows 150-350, 13.42 px/m  (7.5 cm per row)
render edges (25): 157(+9.8), 161(-2.4), 165(+1.8), 172(+3.0), 181(-32.6), 189(-7.6), 199(+22.7), 206(+8.3), 212(-3.3), 218(+3.1), 222(-2.1), 228(+2.4), 234(-2.1), 246(-1.5), 259(+3.2), 266(-8.9), 274(-6.6), 281(-26.8), 294(+15.4), 301(+25.1), 315(-4.2), 321(-6.8), 329(+11.5), 336(-5.8), 342(-3.2)
ref    edges (31): 152(-20.4), 156(+16.0), 160(-17.0), 165(-16.7), 169(+27.7), 176(+30.7), 182(-49.1), 186(+31.0), 192(-2.2), 198(+33.4), 203(-2.5), 211(+3.1), 219(-2.0), 226(+3.2), 231(+1.7), 238(-1.5), 244(+2.2), 248(-2.9), 256(+6.6), 260(+3.2), 269(-31.7), 275(+12.0), 281(-39.8), 285(+16.9), 291(+24.1), 296(+16.5), 320(-7.7), 324(+4.7), 328(-48.4), 336(+10.4), 344(-7.5)

 render y   ref y  d rows     d m   sign
      157     156      +1  -0.075   dark->light
      161     160      +1  -0.075   light->dark
      165     169      -4  +0.298   dark->light
      172     176      -4  +0.298   dark->light
      181     182      -1  +0.075   light->dark
      189     192      -3  +0.224   light->dark
      199     198      +1  -0.075   dark->light
      206     211      -5  +0.373   dark->light
      212     219      -7  +0.522   light->dark
      218     226      -8  +0.596   dark->light
      222     238     -16  +1.192   light->dark
      228     231      -3  +0.224   dark->light
      234     248     -14  +1.043   light->dark
      246     269     -23  +1.714   light->dark
      259     260      -1  +0.075   dark->light
      266     281     -15  +1.118   light->dark
      294     296      -2  +0.149   dark->light
      301     291     +10  -0.745   dark->light
      315     320      -5  +0.373   light->dark
      321     328      -7  +0.522   light->dark
      329     324      +5  -0.373   dark->light
      336     344      -8  +0.596   light->dark

mean +0.366 m, median +0.298 m, spread 2.459 m  (+ve = the render's course sits HIGHER in frame than the photo's)
wrote renders/qa_comparisons/arch_r6_stack_offset.png (1220, 1630)
