
band x 880-1040, rows 150-350, 13.42 px/m  (7.5 cm per row)
render edges (27): 154(+9.9), 164(-14.8), 168(+17.7), 174(+12.8), 180(+5.7), 184(-2.4), 190(+1.9), 194(-2.2), 202(+3.5), 210(+2.0), 217(-1.8), 233(-4.2), 238(-11.0), 249(-4.5), 254(-25.2), 258(+14.8), 266(-11.6), 270(+15.1), 275(-5.4), 279(+21.9), 286(-1.9), 290(+3.5), 298(+6.3), 304(+9.3), 310(+11.2), 335(-2.4), 341(-1.9)
ref    edges (31): 152(-20.4), 156(+16.0), 160(-17.0), 165(-16.7), 169(+27.7), 176(+30.7), 182(-49.1), 186(+31.0), 192(-2.2), 198(+33.4), 203(-2.5), 211(+3.1), 219(-2.0), 226(+3.2), 231(+1.7), 238(-1.5), 244(+2.2), 248(-2.9), 256(+6.6), 260(+3.2), 269(-31.7), 275(+12.0), 281(-39.8), 285(+16.9), 291(+24.1), 296(+16.5), 320(-7.7), 324(+4.7), 328(-48.4), 336(+10.4), 344(-7.5)

 render y   ref y  d rows     d m   sign
      154     156      -2  +0.149   dark->light
      164     165      -1  +0.075   light->dark
      168     169      -1  +0.075   dark->light
      174     176      -2  +0.149   dark->light
      180     186      -6  +0.447   dark->light
      184     182      +2  -0.149   light->dark
      190     198      -8  +0.596   dark->light
      194     192      +2  -0.149   light->dark
      202     211      -9  +0.671   dark->light
      210     226     -16  +1.192   dark->light
      217     219      -2  +0.149   light->dark
      233     238      -5  +0.373   light->dark
      238     248     -10  +0.745   light->dark
      249     269     -20  +1.490   light->dark
      258     256      +2  -0.149   dark->light
      266     281     -15  +1.118   light->dark
      270     275      -5  +0.373   dark->light
      279     285      -6  +0.447   dark->light
      290     291      -1  +0.075   dark->light
      298     296      +2  -0.149   dark->light
      304     324     -20  +1.490   dark->light
      335     328      +7  -0.522   light->dark
      341     344      -3  +0.224   light->dark

mean +0.379 m, median +0.224 m, spread 2.012 m  (+ve = the render's course sits HIGHER in frame than the photo's)
wrote /private/tmp/claude-501/-Users-dk-Projects-3d-render-blender-3rd-attempt-building/1e741676-2c03-408f-ad81-3c89163dc6dc/scratchpad/before_stack.png (1220, 1630)
