00:00.320  blend            | Read blend: "/Users/dk/Projects/3d render blender 3rd attempt building/.claude/worktrees/lighting/assets/lighting.blend"
[check] linked ARCH: ok
[check] linked ENV: ok
[common] set_lod viewport=LOD1 render=LOD0: 5128 objects, 6 collections
[check] 103 samples x 96 rays in 9.8s

  frame     t |      x      y     z | nearest  what                              |   agl surface                    | speed  leg
      1   0.0 |  -14.1  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.00  water
     13   0.5 |  -14.1  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.00  water
     25   1.0 |  -14.1  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.00  water
     37   1.5 |  -14.1  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.00  water
     49   2.0 |  -14.1  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.00  water
     61   2.5 |  -14.1  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.00  water
     73   3.0 |  -14.1  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.00  water
     85   3.5 |  -14.1  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.50  water
     97   4.0 |  -13.7  100.0  1.61 |    2.94  ENV_lagoon_water                 |  2.91 ENV_lagoon_water           |  1.21  water
    109   4.5 |  -12.7   99.9  1.64 |    2.97  ENV_lagoon_water                 |  2.94 ENV_lagoon_water           |  2.55  water
    121   5.0 |  -11.1   99.9  1.69 |    3.02  ENV_lagoon_water                 |  2.99 ENV_lagoon_water           |  3.81  water
    133   5.5 |   -8.9   99.9  1.75 |    3.09  ENV_lagoon_water                 |  3.05 ENV_lagoon_water           |  5.05  water
