00:00.318  blend            | Read blend: "/Users/dk/Projects/3d render blender 3rd attempt building/.claude/worktrees/materials/master.blend"
[probe] master: 9681 objects; cam at (-14.1, 100.0, 1.6)
[probe] sun toward (0.473, 0.872, 0.128) (elevation 7.4 deg)

[probe] === water_refl (900, 760, 1020, 840) : 40 water samples, mean 23.4 m, mean incidence 82.7 deg from normal ===
[probe]  pitch  roll   SKY%  ARCH%   ORN%   ENV%  sunlit%   meanZ  rayEl
[probe]  -12.0   0.0    0.0    0.0    0.0  100.0      0.0     nan  -16.7
[probe]   -8.0   0.0    0.0    0.0    0.0  100.0      0.0     nan   -8.7
[probe]   -5.0   0.0    0.0    0.0    0.0  100.0      0.0     nan   -2.7
[probe]   -3.0   0.0    0.0   20.0    0.0   80.0     15.0   -1.16    1.3
[probe]   -1.5   0.0    0.0   10.0    0.0   90.0      5.0    4.89    4.3
[probe]    0.0   0.0   25.0   12.5    0.0   62.5      7.5   10.01    7.3
[probe]    1.5   0.0   25.0   45.0    0.0   30.0      2.5   17.82   10.3
[probe]    3.0   0.0   10.0   72.5    0.0   10.0      0.0   21.20   13.3
[probe]    5.0   0.0    0.0  100.0    0.0    0.0     30.0   20.86   17.3
[probe]    8.0   0.0    0.0   97.5    0.0    0.0     75.0   23.41   23.3
[probe]   12.0   0.0    0.0   75.0    0.0    0.0     72.5   33.15   31.3
[probe]  -12.0   3.0    0.0    0.0    0.0  100.0      0.0     nan  -16.7
[probe]   -8.0   3.0    0.0    0.0    0.0  100.0      0.0     nan   -8.7
[probe]   -5.0   3.0    0.0    0.0    0.0  100.0      0.0     nan   -2.7
[probe]   -3.0   3.0    0.0   20.0    0.0   80.0     15.0   -0.48    1.3
[probe]   -1.5   3.0    0.0    7.5    0.0   92.5      5.0    4.12    4.3
[probe]    0.0   3.0   10.0   10.0    0.0   80.0      7.5   10.05    7.3
[probe]    1.5   3.0   25.0   42.5    0.0   32.5      5.0   17.60   10.3
[probe]    3.0   3.0   12.5   82.5    0.0    5.0      5.0   20.91   13.3
[probe]    5.0   3.0    0.0   97.5    0.0    2.5     40.0   20.73   17.3
[probe]    8.0   3.0    0.0  100.0    0.0    0.0     85.0   23.37   23.3
[probe]   12.0   3.0    0.0   82.5    0.0    0.0     77.5   32.66   31.2
[probe]  -12.0   8.0    0.0    0.0    0.0  100.0      0.0     nan  -16.7
[probe]   -8.0   8.0    0.0    0.0    0.0  100.0      0.0     nan   -8.8
[probe]   -5.0   8.0    0.0    0.0    0.0  100.0      0.0     nan   -2.9
[probe]   -3.0   8.0    0.0   35.0    0.0   65.0     32.5   -0.56    1.1
[probe]   -1.5   8.0    0.0    7.5    0.0   92.5      2.5    5.17    4.1
[probe]    0.0   8.0   12.5   15.0    0.0   72.5     10.0    8.74    7.0
[probe]    1.5   8.0   22.5   37.5    0.0   37.5      5.0   16.75   10.0
[probe]    3.0   8.0    7.5   72.5    0.0   15.0     12.5   19.34   13.0
[probe]    5.0   8.0    0.0   97.5    0.0    2.5     52.5   19.37   16.9
[probe]    8.0   8.0    0.0   87.5    0.0    0.0     75.0   22.39   22.9
[probe]   12.0   8.0    0.0   75.0    0.0    0.0     57.5   31.63   30.7
[probe] transmitted ray (IOR 1.333): {'ENV': 40}

[probe] === near_water (1150, 1000, 1450, 1050) : 45 water samples, mean 9.4 m, mean incidence 72.0 deg from normal ===
[probe]  pitch  roll   SKY%  ARCH%   ORN%   ENV%  sunlit%   meanZ  rayEl
[probe]  -12.0   0.0    0.0    0.0    0.0  100.0      0.0     nan   -6.0
[probe]   -8.0   0.0    0.0   17.8    0.0   82.2      4.4    1.72    2.0
[probe]   -5.0   0.0    4.4   51.1    0.0   42.2      6.7   12.83    8.0
[probe]   -3.0   0.0   57.8   33.3    0.0    8.9      0.0   17.28   12.0
[probe]   -1.5   0.0   66.7   33.3    0.0    0.0      0.0   21.82   15.0
[probe]    0.0   0.0   66.7   28.9    0.0    0.0      6.7   26.04   18.0
[probe]    1.5   0.0   66.7   28.9    0.0    0.0      0.0   30.53   21.0
[probe]    3.0   0.0   66.7   24.4    0.0    0.0      4.4   36.25   24.0
[probe]    5.0   0.0   97.8    2.2    0.0    0.0      0.0   43.00   28.0
[probe]    8.0   0.0  100.0    0.0    0.0    0.0      0.0     nan   34.0
[probe]   12.0   0.0  100.0    0.0    0.0    0.0      0.0     nan   42.0
[probe]  -12.0   3.0    0.0    0.0    0.0  100.0      0.0     nan   -6.0
[probe]   -8.0   3.0    0.0   11.1    0.0   88.9      2.2    1.23    2.0
[probe]   -5.0   3.0   13.3   33.3    0.0   46.7     20.0   12.48    7.9
[probe]   -3.0   3.0   68.9   22.2    0.0    8.9      6.7   17.17   11.9
[probe]   -1.5   3.0   77.8   20.0    0.0    0.0      6.7   21.45   14.9
[probe]    0.0   3.0   75.6   17.8    0.0    2.2      6.7   26.58   17.9
[probe]    1.5   3.0   77.8   17.8    0.0    0.0      2.2   31.11   20.9
[probe]    3.0   3.0   77.8   22.2    0.0    0.0      8.9   36.34   23.9
[probe]    5.0   3.0  100.0    0.0    0.0    0.0      0.0     nan   27.9
[probe]    8.0   3.0  100.0    0.0    0.0    0.0      0.0     nan   33.9
[probe]   12.0   3.0  100.0    0.0    0.0    0.0      0.0     nan   41.9
[probe]  -12.0   8.0    0.0    0.0    0.0  100.0      0.0     nan   -6.4
[probe]   -8.0   8.0    0.0   17.8    0.0   82.2      8.9    0.09    1.5
[probe]   -5.0   8.0    0.0   33.3    0.0   60.0     20.0   12.95    7.4
[probe]   -3.0   8.0   80.0    8.9    0.0   11.1      0.0   16.14   11.4
[probe]   -1.5   8.0   97.8    2.2    0.0    0.0      0.0   19.81   14.3
[probe]    0.0   8.0   97.8    2.2    0.0    0.0      0.0   28.93   17.3
[probe]    1.5   8.0  100.0    0.0    0.0    0.0      0.0     nan   20.3
[probe]    3.0   8.0  100.0    0.0    0.0    0.0      0.0     nan   23.2
[probe]    5.0   8.0  100.0    0.0    0.0    0.0      0.0     nan   27.2
[probe]    8.0   8.0  100.0    0.0    0.0    0.0      0.0     nan   33.0
[probe]   12.0   8.0  100.0    0.0    0.0    0.0      0.0     nan   40.9
[probe] transmitted ray (IOR 1.333): {'ENV': 45}
[probe] done
Blender 5.2.1 LTS (hash 9e2066aef7ef built 2026-08-25 01:35:57)

Blender quit
blender_run.sh: pid 41827 exited rc=0 after 5 s (max 900)
